# ИНСТРУКЦИЯ ПО ИМПОРТУ
# Этот файл нужно открыть в Excel/Google Sheets, скопировать данные и сохранить как .XLSX
# Затем импортировать через Директ Коммандер: Файл → Импорт → Из файла Excel

# =====================================
# ФОРМАТ ДЛЯ ДИРЕКТ КОММАНДЕРА
# =====================================

Campaign	AdGroup	Keyword	BidType	Bid	MaxPrice	Region	NegativeKeywords	Ad	AdTitle	AdTitle2	AdText	DisplayUrlPath	Href	AdImage	AdImageHash	MobileAdjustment	TimeTargeting	
Золотое Кольцо - VIP туры 2025	Группа 1: Золотое Кольцо Общие	золотое кольцо туры	SEARCH	120		213, 2	-бесплатно -дешево -работа -вакансии -карта -схема -картинки	Объявление 1.1	Туры по Золотому Кольцу со скидкой 5%	VIP-комфорт и личный гид-историк	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Бронируйте со скидкой!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 1: Золотое Кольцо Общие	туры по золотому кольцу	SEARCH	120		213, 2	-бесплатно -дешево -работа -вакансии -карта -схема -картинки	Объявление 1.1	Туры по Золотому Кольцу со скидкой 5%	VIP-комфорт и личный гид-историк	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Бронируйте со скидкой!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 1: Золотое Кольцо Общие	экскурсии золотое кольцо	SEARCH	110		213, 2	-бесплатно -дешево -работа -вакансии -карта -схема -картинки	Объявление 1.1	Туры по Золотому Кольцу со скидкой 5%	VIP-комфорт и личный гид-историк	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Бронируйте со скидкой!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 1: Золотое Кольцо Общие	золотое кольцо россии туры	SEARCH	130		213, 2	-бесплатно -дешево -работа -вакансии -карта -схема -картинки	Объявление 1.2	Золотое Кольцо 2025 — Скидка 5%	Премиум туры от 39 900₽	Эксклюзивные туры по древним городам с комфортом премиум-класса. Проживание 5★, трансферы, личный гид. Владимир, Суздаль, Ростов Великий. Осталось 3 места!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_content=ad2&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 1: Золотое Кольцо Общие	поездка по золотому кольцу	SEARCH	115		213, 2	-бесплатно -дешево -работа -вакансии -карта -схема -картинки	Объявление 1.2	Золотое Кольцо 2025 — Скидка 5%	Премиум туры от 39 900₽	Эксклюзивные туры по древним городам с комфортом премиум-класса. Проживание 5★, трансферы, личный гид. Владимир, Суздаль, Ростов Великий. Осталось 3 места!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_content=ad2&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 1: Золотое Кольцо Общие	путешествие золотое кольцо	SEARCH	100		213, 2	-бесплатно -дешево -работа -вакансии -карта -схема -картинки	Объявление 1.1	Туры по Золотому Кольцу со скидкой 5%	VIP-комфорт и личный гид-историк	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Бронируйте со скидкой!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 1: Золотое Кольцо Общие	тур золотое кольцо из москвы	SEARCH	140		213	-бесплатно -дешево -работа -вакансии -карта -схема -картинки	Объявление 1.2	Золотое Кольцо 2025 — Скидка 5%	Премиум туры от 39 900₽	Эксклюзивные туры по древним городам с комфортом премиум-класса. Проживание 5★, трансферы, личный гид. Владимир, Суздаль, Ростов Великий. Осталось 3 места!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_content=ad2&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 1: Золотое Кольцо Общие	золотое кольцо экскурсионные туры	SEARCH	125		213, 2	-бесплатно -дешево -работа -вакансии -карта -схема -картинки	Объявление 1.1	Туры по Золотому Кольцу со скидкой 5%	VIP-комфорт и личный гид-историк	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Бронируйте со скидкой!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 2: VIP и Премиум	vip туры золотое кольцо	SEARCH	200		213, 2	-бесплатно -дешево -работа -вакансии	Объявление 2.1	VIP-туры по Золотому Кольцу -5%	Mercedes S-Class и отели 5 звезд	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль. Забронируйте сейчас!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip&utm_content=ad1&utm_term={keyword}			+20%	1ABCDEFG2ABCDEFG3ABCDEFG4HIJKLMNO5HIJKLMNO6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 2: VIP и Премиум	индивидуальные туры золотое кольцо	SEARCH	180		213, 2	-бесплатно -дешево -работа -вакансии	Объявление 2.1	VIP-туры по Золотому Кольцу -5%	Mercedes S-Class и отели 5 звезд	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль. Забронируйте сейчас!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip&utm_content=ad1&utm_term={keyword}			+20%	1ABCDEFG2ABCDEFG3ABCDEFG4HIJKLMNO5HIJKLMNO6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 2: VIP и Премиум	премиум туры золотое кольцо	SEARCH	190		213, 2	-бесплатно -дешево -работа -вакансии	Объявление 2.2	Эксклюзивные туры по Золотому Кольцу	Скидка 5% только сегодня	Путешествие премиум-класса по древним городам России. Комфортабельный транспорт, лучшие отели, персональный сервис. От 39 900₽ с учетом скидки.	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip&utm_content=ad2&utm_term={keyword}			+20%	1ABCDEFG2ABCDEFG3ABCDEFG4HIJKLMNO5HIJKLMNO6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 2: VIP и Премиум	эксклюзивные туры золотое кольцо	SEARCH	170		213, 2	-бесплатно -дешево -работа -вакансии	Объявление 2.2	Эксклюзивные туры по Золотому Кольцу	Скидка 5% только сегодня	Путешествие премиум-класса по древним городам России. Комфортабельный транспорт, лучшие отели, персональный сервис. От 39 900₽ с учетом скидки.	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip&utm_content=ad2&utm_term={keyword}			+20%	1ABCDEFG2ABCDEFG3ABCDEFG4HIJKLMNO5HIJKLMNO6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 2: VIP и Премиум	люкс туры золотое кольцо	SEARCH	180		213, 2	-бесплатно -дешево -работа -вакансии	Объявление 2.1	VIP-туры по Золотому Кольцу -5%	Mercedes S-Class и отели 5 звезд	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль. Забронируйте сейчас!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip&utm_content=ad1&utm_term={keyword}			+20%	1ABCDEFG2ABCDEFG3ABCDEFG4HIJKLMNO5HIJKLMNO6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 2: VIP и Премиум	золотое кольцо с комфортом	SEARCH	150		213, 2	-бесплатно -дешево -работа -вакансии	Объявление 2.2	Эксклюзивные туры по Золотому Кольцу	Скидка 5% только сегодня	Путешествие премиум-класса по древним городам России. Комфортабельный транспорт, лучшие отели, персональный сервис. От 39 900₽ с учетом скидки.	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip&utm_content=ad2&utm_term={keyword}			+20%	1ABCDEFG2ABCDEFG3ABCDEFG4HIJKLMNO5HIJKLMNO6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 2: VIP и Премиум	золотое кольцо на машине	SEARCH	160		213, 2	-бесплатно -дешево -работа -вакансии -аренда	Объявление 2.1	VIP-туры по Золотому Кольцу -5%	Mercedes S-Class и отели 5 звезд	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль. Забронируйте сейчас!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip&utm_content=ad1&utm_term={keyword}			+20%	1ABCDEFG2ABCDEFG3ABCDEFG4HIJKLMNO5HIJKLMNO6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 3: Города маршрута	туры в суздаль	SEARCH	140		213, 2	-бесплатно -дешево -работа -вакансии -карта	Объявление 3.1	Туры в Суздаль и Владимир -5%	Золотое Кольцо от 39 900₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Специальная скидка 5% при бронировании!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 3: Города маршрута	экскурсии владимир суздаль	SEARCH	135		213, 2	-бесплатно -дешево -работа -вакансии -карта	Объявление 3.1	Туры в Суздаль и Владимир -5%	Золотое Кольцо от 39 900₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Специальная скидка 5% при бронировании!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 3: Города маршрута	туры в ярославль	SEARCH	130		213, 2	-бесплатно -дешево -работа -вакансии -карта	Объявление 3.1	Туры в Суздаль и Владимир -5%	Золотое Кольцо от 39 900₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Специальная скидка 5% при бронировании!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 3: Города маршрута	туры в ростов великий	SEARCH	110		213, 2	-бесплатно -дешево -работа -вакансии -карта	Объявление 3.1	Туры в Суздаль и Владимир -5%	Золотое Кольцо от 39 900₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Специальная скидка 5% при бронировании!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
Золотое Кольцо - VIP туры 2025	Группа 3: Города маршрута	поездка во владимир	SEARCH	120		213, 2	-бесплатно -дешево -работа -вакансии -карта	Объявление 3.1	Туры в Суздаль и Владимир -5%	Золотое Кольцо от 39 900₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Специальная скидка 5% при бронировании!	promo	https://ваш-сайт.ru/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities&utm_content=ad1&utm_term={keyword}			+15%	1ABCDEFG2ABCDEFG3ABCDEFG4ABCDEFG5ABCDEFG6HIJKLMNO7HIJKLMNO
